trans_hour,purchase_category,city_population,purchase_city_lat,purchase_city_long,amount,age,occupation,merchant_name,is_fraud
3,4,126,34.298,-114.156,321.49,27,113,459,1
3,4,1241364,32.7185,-117.1593,276.99,32,73,444,1
5,4,1241364,32.7185,-117.1593,306.2,32,73,238,1
8,4,1241364,32.7185,-117.1593,290.89,32,73,460,1
22,11,1241364,32.7185,-117.1593,1005.31,32,73,79,1
22,4,126,34.298,-114.156,287.42,27,113,412,1
23,11,1241364,32.7185,-117.1593,1058.01,32,73,155,1
23,11,1241364,32.7185,-117.1593,1037.0,32,73,142,1
1,4,1241364,32.7185,-117.1593,285.88,32,73,537,1
1,8,1241364,32.7185,-117.1593,731.6,32,73,324,1
3,4,1241364,32.7185,-117.1593,326.94,32,73,169,1
23,12,1241364,32.7185,-117.1593,715.29,32,73,7,1
0,12,2368,38.7897,-93.8702,986.53,30,83,7,1
1,11,2368,38.7897,-93.8702,1041.76,30,83,528,1
2,8,2368,38.7897,-93.8702,857.67,30,83,190,1
22,6,2368,38.7897,-93.8702,241.08,30,83,166,1
22,7,2368,38.7897,-93.8702,19.77,30,83,95,1
23,0,2368,38.7897,-93.8702,540.67,30,83,491,1
0,12,2368,38.7897,-93.8702,868.34,30,83,419,1
2,4,99475,38.3847,-121.9887,291.92,49,67,174,1
2,4,2368,38.7897,-93.8702,290.2,30,83,450,1
17,8,99475,38.3847,-121.9887,820.25,49,67,525,1
22,11,99475,38.3847,-121.9887,1084.55,49,67,440,1
22,0,2368,38.7897,-93.8702,424.38,30,83,125,1
23,0,2368,38.7897,-93.8702,474.24,30,83,215,1
23,7,2368,38.7897,-93.8702,20.21,30,83,310,1
23,9,99475,38.3847,-121.9887,8.57,49,67,649,1
1,2,99475,38.3847,-121.9887,9.17,49,67,251,1
3,4,99475,38.3847,-121.9887,259.96,49,67,326,1
23,10,99475,38.3847,-121.9887,19.83,49,67,53,1
6,4,16955,45.3304,-118.0852,304.08,58,19,459,1
16,11,16955,45.3304,-118.0852,1105.42,58,19,523,1
22,4,16955,45.3304,-118.0852,257.63,58,19,549,1
22,11,16955,45.3304,-118.0852,942.0,58,19,578,1
23,8,16955,45.3304,-118.0852,768.0,58,19,153,1
23,4,198,38.046,-122.1866,309.02,60,51,174,1
23,13,964,39.7795,-93.3014,9.9,45,157,442,1
23,11,16955,45.3304,-118.0852,935.13,58,19,93,1
23,11,16955,45.3304,-118.0852,1096.03,58,19,440,1
23,8,964,39.7795,-93.3014,719.82,45,157,591,1
0,2,964,39.7795,-93.3014,6.79,45,157,214,1
0,4,964,39.7795,-93.3014,290.65,45,157,599,1
1,2,16955,45.3304,-118.0852,9.91,58,19,293,1
3,4,198,38.046,-122.1866,311.48,60,51,229,1
5,2,964,39.7795,-93.3014,9.13,45,157,415,1
7,4,16955,45.3304,-118.0852,257.47,58,19,445,1
13,11,198,38.046,-122.1866,880.19,60,51,167,1
22,8,964,39.7795,-93.3014,696.29,45,157,241,1
22,12,16955,45.3304,-118.0852,957.09,58,19,292,1
23,11,16955,45.3304,-118.0852,1016.26,58,19,192,1
23,4,964,39.7795,-93.3014,289.74,45,157,553,1
23,10,198,38.046,-122.1866,45.24,60,51,300,1
23,11,964,39.7795,-93.3014,900.06,45,157,365,1
23,11,16955,45.3304,-118.0852,1140.72,58,19,105,1
23,8,198,38.046,-122.1866,786.4,60,51,690,1
1,4,110,44.6873,-104.4414,289.12,46,2,483,1
2,4,110,44.6873,-104.4414,325.35,46,2,661,1
3,4,110,44.6873,-104.4414,280.64,46,2,549,1
22,8,110,44.6873,-104.4414,828.73,46,2,76,1
22,11,110,44.6873,-104.4414,853.8,46,2,403,1
0,4,110,44.6873,-104.4414,295.85,46,2,450,1
1,4,1420,43.921,-122.7806,348.01,54,149,262,1
2,3,1420,43.921,-122.7806,16.73,54,149,0,1
10,4,1420,43.921,-122.7806,309.35,54,149,553,1
16,1,110,44.6873,-104.4414,123.61,46,2,341,1
18,8,1420,43.921,-122.7806,763.2,54,149,178,1
22,8,110,44.6873,-104.4414,935.83,46,2,607,1
22,12,110,44.6873,-104.4414,912.51,46,2,561,1
22,0,1420,43.921,-122.7806,615.49,54,149,613,1
23,11,1420,43.921,-122.7806,1073.84,54,149,604,1
23,11,1420,43.921,-122.7806,920.07,54,149,221,1
23,8,1420,43.921,-122.7806,803.95,54,149,607,1
23,4,1420,43.921,-122.7806,362.56,54,149,133,1
23,12,1420,43.921,-122.7806,787.51,54,149,314,1
0,4,1420,43.921,-122.7806,297.37,54,149,450,1
2,4,1420,43.921,-122.7806,348.36,54,149,526,1
2,4,1420,43.921,-122.7806,357.5,54,149,229,1
21,12,641349,35.0561,-106.5506,833.74,52,59,532,1
22,10,641349,35.0561,-106.5506,20.25,52,59,496,1
22,8,641349,35.0561,-106.5506,801.83,52,59,241,1
22,0,1420,43.921,-122.7806,695.53,54,149,203,1
22,11,641349,35.0561,-106.5506,1156.15,52,59,212,1
22,11,641349,35.0561,-106.5506,995.63,52,59,159,1
23,12,641349,35.0561,-106.5506,875.17,52,59,532,1
23,4,641349,35.0561,-106.5506,321.17,52,59,477,1
23,9,1420,43.921,-122.7806,51.02,54,149,621,1
23,8,641349,35.0561,-106.5506,664.64,52,59,663,1
0,4,641349,35.0561,-106.5506,281.68,52,59,526,1
1,2,641349,35.0561,-106.5506,9.72,52,59,535,1
2,4,641349,35.0561,-106.5506,293.68,52,59,174,1
22,8,641349,35.0561,-106.5506,749.92,52,59,322,1
22,12,923,35.4311,-105.9409,871.27,55,138,658,1
22,9,923,35.4311,-105.9409,51.66,55,138,188,1
12,4,923,35.4311,-105.9409,340.18,55,138,637,1
21,12,923,35.4311,-105.9409,671.44,55,138,247,1
23,8,923,35.4311,-105.9409,806.03,55,138,263,1
0,4,121,40.0456,-97.4735,298.7,23,146,661,1
0,2,121,40.0456,-97.4735,10.44,23,146,21,1
1,4,121,40.0456,-97.4735,300.27,23,146,477,1
1,4,121,40.0456,-97.4735,299.49,23,146,684,1
2,2,121,40.0456,-97.4735,9.21,23,146,248,1
3,4,121,40.0456,-97.4735,285.81,23,146,445,1
14,7,121,40.0456,-97.4735,20.27,23,146,490,1
22,11,121,40.0456,-97.4735,1165.94,23,146,295,1
22,11,121,40.0456,-97.4735,942.93,23,146,97,1
22,11,121,40.0456,-97.4735,1078.92,23,146,268,1
23,13,121,40.0456,-97.4735,9.15,23,146,20,1
23,11,121,40.0456,-97.4735,996.11,23,146,105,1
23,8,121,40.0456,-97.4735,659.33,23,146,607,1
23,13,121,40.0456,-97.4735,9.89,23,146,258,1
23,11,121,40.0456,-97.4735,956.7,23,146,295,1
23,8,121,40.0456,-97.4735,741.78,23,146,476,1
0,3,121,40.0456,-97.4735,10.54,23,146,546,1
1,4,121,40.0456,-97.4735,307.7,23,146,173,1
1,4,121,40.0456,-97.4735,328.75,23,146,367,1
1,2,1645,43.0048,-108.8964,13.17,33,102,512,1
2,2,1645,43.0048,-108.8964,11.74,33,102,305,1
23,10,1645,43.0048,-108.8964,19.16,33,102,488,1
22,12,1645,43.0048,-108.8964,830.06,33,102,231,1
22,6,1645,43.0048,-108.8964,261.79,33,102,205,1
23,0,1645,43.0048,-108.8964,594.09,33,102,325,1
23,1,1645,43.0048,-108.8964,130.08,33,102,198,1
23,10,1645,43.0048,-108.8964,20.41,33,102,556,1
23,7,1645,43.0048,-108.8964,19.23,33,102,249,1
22,8,927396,38.6171,-90.4504,626.15,59,125,119,1
23,12,927396,38.6171,-90.4504,950.42,59,125,509,1
0,3,927396,38.6171,-90.4504,9.95,59,125,288,1
16,11,927396,38.6171,-90.4504,914.49,59,125,347,1
22,11,927396,38.6171,-90.4504,1209.7,59,125,528,1
22,7,927396,38.6171,-90.4504,18.69,59,125,592,1
23,4,927396,38.6171,-90.4504,292.07,59,125,229,1
23,8,927396,38.6171,-90.4504,733.72,59,125,519,1
0,9,545147,38.9621,-94.5959,7.52,32,76,436,1
1,11,545147,38.9621,-94.5959,1039.27,32,76,268,1
17,7,545147,38.9621,-94.5959,19.58,32,76,678,1
22,5,545147,38.9621,-94.5959,20.63,32,76,308,1
22,1,545147,38.9621,-94.5959,118.06,32,76,228,1
0,4,545147,38.9621,-94.5959,363.36,32,76,639,1
0,12,545147,38.9621,-94.5959,738.87,32,76,157,1
1,1,545147,38.9621,-94.5959,120.36,32,76,614,1
1,11,545147,38.9621,-94.5959,981.21,32,76,44,1
0,4,35439,38.4305,-90.387,316.98,34,106,684,1
2,4,35439,38.4305,-90.387,280.25,34,106,234,1
8,4,35439,38.4305,-90.387,285.62,34,106,262,1
23,11,35439,38.4305,-90.387,826.45,34,106,155,1
23,11,35439,38.4305,-90.387,946.78,34,106,159,1
23,12,35439,38.4305,-90.387,778.43,34,106,597,1
17,11,35439,38.4305,-90.387,933.0,34,106,528,1
22,0,35439,38.4305,-90.387,535.49,34,106,540,1
0,4,478404,33.4317,-111.8469,272.15,79,107,158,1
3,2,478404,33.4317,-111.8469,10.46,79,107,183,1
14,4,478404,33.4317,-111.8469,305.28,79,107,445,1
22,11,478404,33.4317,-111.8469,902.9,79,107,528,1
22,11,478404,33.4317,-111.8469,951.95,79,107,433,1
23,8,478404,33.4317,-111.8469,833.02,79,107,385,1
23,4,478404,33.4317,-111.8469,315.44,79,107,477,1
1,4,478404,33.4317,-111.8469,355.37,79,107,229,1
1,4,107941,37.6787,-122.478,358.01,28,3,287,1
1,12,107941,37.6787,-122.478,858.92,28,3,128,1
3,9,107941,37.6787,-122.478,9.0,28,3,363,1
10,9,107941,37.6787,-122.478,7.19,28,3,520,1
16,4,49,41.0552,-110.1603,311.53,38,142,471,1
22,11,49,41.0552,-110.1603,956.38,38,142,123,1
22,11,49,41.0552,-110.1603,934.88,38,142,403,1
22,11,49,41.0552,-110.1603,951.58,38,142,6,1
22,4,49,41.0552,-110.1603,310.03,38,142,326,1
22,11,49,41.0552,-110.1603,927.82,38,142,463,1
22,11,478404,33.4317,-111.8469,870.91,79,107,642,1
22,10,107941,37.6787,-122.478,17.81,28,3,496,1
23,11,49,41.0552,-110.1603,1016.82,38,142,391,1
23,11,49,41.0552,-110.1603,973.5,38,142,346,1
23,6,107941,37.6787,-122.478,272.25,28,3,542,1
0,0,107941,37.6787,-122.478,463.74,28,3,632,1
0,11,107941,37.6787,-122.478,898.86,28,3,523,1
0,11,94014,38.4549,-122.2564,1086.61,34,48,578,1
0,2,49,41.0552,-110.1603,7.52,38,142,495,1
1,12,107941,37.6787,-122.478,797.81,28,3,7,1
1,4,49,41.0552,-110.1603,278.4,38,142,287,1
1,0,107941,37.6787,-122.478,513.6,28,3,453,1
1,4,49,41.0552,-110.1603,312.3,38,142,459,1
2,11,107941,37.6787,-122.478,910.76,28,3,347,1
3,2,49,41.0552,-110.1603,7.82,38,142,355,1
21,11,49,41.0552,-110.1603,1050.98,38,142,212,1
22,10,94014,38.4549,-122.2564,23.07,34,48,300,1
22,10,94014,38.4549,-122.2564,20.68,34,48,496,1
23,13,94014,38.4549,-122.2564,8.98,34,48,258,1
23,11,49,41.0552,-110.1603,1101.74,38,142,142,1
1,4,94014,38.4549,-122.2564,381.39,34,48,444,1
9,4,94014,38.4549,-122.2564,348.72,34,48,445,1
0,4,239,66.6933,-153.994,302.1,23,57,444,1
1,2,239,66.6933,-153.994,8.1,23,57,73,1
1,4,239,66.6933,-153.994,282.17,23,57,445,1
18,12,239,66.6933,-153.994,1154.81,23,57,419,1
22,11,239,66.6933,-153.994,977.1,23,57,177,1
22,11,239,66.6933,-153.994,1099.67,23,57,1,1
23,8,239,66.6933,-153.994,805.96,23,57,119,1
1,2,239,66.6933,-153.994,9.94,23,57,48,1
3,4,239,66.6933,-153.994,318.37,23,57,71,1
22,11,239,66.6933,-153.994,1136.04,23,57,642,1
22,11,239,66.6933,-153.994,973.84,23,57,295,1
22,8,239,66.6933,-153.994,739.18,23,57,439,1
1,2,1439,48.0379,-118.9419,9.91,20,27,338,1
1,2,1439,48.0379,-118.9419,8.78,20,27,487,1
1,4,1439,48.0379,-118.9419,295.16,20,27,503,1
2,4,1439,48.0379,-118.9419,269.76,20,27,477,1
5,4,1439,48.0379,-118.9419,307.86,20,27,19,1
12,8,1439,48.0379,-118.9419,1054.8,20,27,241,1
20,12,1439,48.0379,-118.9419,1194.56,20,27,561,1
23,12,1439,48.0379,-118.9419,1256.43,20,27,554,1
23,8,1439,48.0379,-118.9419,708.06,20,27,468,1
23,8,1439,48.0379,-118.9419,757.36,20,27,607,1
23,9,1439,48.0379,-118.9419,6.33,20,27,435,1
0,2,389246,39.7656,-104.7069,8.45,81,100,145,1
1,4,1439,48.0379,-118.9419,301.9,20,27,158,1
1,4,1439,48.0379,-118.9419,282.54,20,27,639,1
1,2,271,39.7417,-93.6289,10.41,47,106,606,1
3,4,389246,39.7656,-104.7069,315.55,81,100,445,1
3,2,389246,39.7656,-104.7069,9.86,81,100,566,1
3,2,1439,48.0379,-118.9419,7.97,20,27,389,1
9,11,271,39.7417,-93.6289,955.52,47,106,93,1
15,10,271,39.7417,-93.6289,21.96,47,106,254,1
17,11,389246,39.7656,-104.7069,1162.35,81,100,528,1
22,5,389246,39.7656,-104.7069,18.08,81,100,226,1
22,11,389246,39.7656,-104.7069,932.41,81,100,391,1
22,5,271,39.7417,-93.6289,26.13,47,106,343,1
23,5,271,39.7417,-93.6289,18.2,47,106,55,1
23,5,271,39.7417,-93.6289,19.57,47,106,418,1
23,11,389246,39.7656,-104.7069,797.05,81,100,472,1
23,9,1439,48.0379,-118.9419,6.39,20,27,396,1
23,6,271,39.7417,-93.6289,231.12,47,106,86,1
23,6,271,39.7417,-93.6289,270.28,47,106,220,1
23,5,271,39.7417,-93.6289,19.82,47,106,569,1
0,8,271,39.7417,-93.6289,758.05,47,106,328,1
0,4,389246,39.7656,-104.7069,316.84,81,100,313,1
1,4,389246,39.7656,-104.7069,315.96,81,100,526,1
2,2,271,39.7417,-93.6289,8.12,47,106,395,1
3,2,389246,39.7656,-104.7069,9.21,81,100,555,1
3,4,389246,39.7656,-104.7069,289.41,81,100,537,1
23,6,271,39.7417,-93.6289,236.87,47,106,246,1
2,4,463,40.4591,-98.5551,336.08,71,25,595,1
22,4,463,40.4591,-98.5551,335.02,71,25,88,1
23,11,463,40.4591,-98.5551,1011.94,71,25,564,1
23,13,463,40.4591,-98.5551,7.55,71,25,81,1
22,11,463,40.4591,-98.5551,1045.91,71,25,44,1
22,0,463,40.4591,-98.5551,621.8,71,25,301,1
0,1,34882,34.3795,-118.523,98.7,48,93,341,1
3,1,34882,34.3795,-118.523,128.49,48,93,85,1
1,11,34882,34.3795,-118.523,1038.29,48,93,578,1
22,8,276,40.7268,-124.2174,910.76,90,31,439,1
23,8,276,40.7268,-124.2174,697.52,90,31,276,1
23,9,276,40.7268,-124.2174,49.83,90,31,649,1
0,2,276,40.7268,-124.2174,23.02,90,31,181,1
2,3,276,40.7268,-124.2174,12.0,90,31,187,1
2,4,276,40.7268,-124.2174,349.7,90,31,43,1
2,4,276,40.7268,-124.2174,326.64,90,31,639,1
12,11,276,40.7268,-124.2174,974.95,90,31,236,1
22,4,276,40.7268,-124.2174,337.68,90,31,518,1
23,8,276,40.7268,-124.2174,847.19,90,31,263,1
23,4,276,40.7268,-124.2174,340.41,90,31,450,1
23,12,276,40.7268,-124.2174,873.75,90,31,636,1
22,8,633,37.7773,-119.0825,734.75,92,94,458,1
22,11,633,37.7773,-119.0825,888.44,92,94,236,1
23,8,633,37.7773,-119.0825,613.99,92,94,119,1
16,4,633,37.7773,-119.0825,346.58,92,94,503,1
22,4,633,37.7773,-119.0825,350.64,92,94,71,1
22,4,633,37.7773,-119.0825,331.2,92,94,544,1
5,2,191096,44.0385,-123.0614,14.01,55,33,461,1
22,11,191096,44.0385,-123.0614,861.34,55,33,631,1
22,4,191096,44.0385,-123.0614,289.51,55,33,661,1
23,8,191096,44.0385,-123.0614,865.88,55,33,276,1
0,4,191096,44.0385,-123.0614,309.33,55,33,262,1
0,4,191096,44.0385,-123.0614,262.56,55,33,483,1
1,2,191096,44.0385,-123.0614,11.93,55,33,389,1
1,4,191096,44.0385,-123.0614,297.95,55,33,19,1
12,11,191096,44.0385,-123.0614,999.84,55,33,440,1
22,11,191096,44.0385,-123.0614,872.94,55,33,295,1
22,12,191096,44.0385,-123.0614,945.07,55,33,138,1
23,4,191096,44.0385,-123.0614,277.2,55,33,287,1
0,4,129,44.6255,-116.4493,340.02,54,58,43,1
0,2,1725,39.8127,-120.6405,18.55,52,60,21,1
0,4,129,44.6255,-116.4493,307.53,54,58,471,1
0,4,1725,39.8127,-120.6405,298.19,52,60,553,1
1,4,129,44.6255,-116.4493,344.48,54,58,392,1
10,2,129,44.6255,-116.4493,20.3,54,58,48,1
14,13,1725,39.8127,-120.6405,2.13,52,60,81,1
22,11,129,44.6255,-116.4493,973.38,54,58,221,1
22,8,129,44.6255,-116.4493,794.06,54,58,147,1
23,8,129,44.6255,-116.4493,806.16,54,58,457,1
23,4,1725,39.8127,-120.6405,333.17,52,60,412,1
23,4,1725,39.8127,-120.6405,336.71,52,60,518,1
23,8,129,44.6255,-116.4493,965.16,54,58,414,1
2,4,129,44.6255,-116.4493,310.9,54,58,282,1
2,4,1725,39.8127,-120.6405,313.33,52,60,445,1
3,4,1725,39.8127,-120.6405,302.59,52,60,313,1
22,11,129,44.6255,-116.4493,1093.55,54,58,44,1
22,4,1725,39.8127,-120.6405,305.5,52,60,460,1
23,11,129,44.6255,-116.4493,938.4,54,58,6,1
23,9,1725,39.8127,-120.6405,49.49,52,60,634,1
0,2,641349,35.1506,-106.569,8.52,43,65,454,1
0,9,641349,35.1506,-106.569,6.3,43,65,436,1
0,12,641349,35.1506,-106.569,830.38,43,65,323,1
2,4,641349,35.1506,-106.569,338.29,43,65,684,1
22,7,641349,35.1506,-106.569,22.32,43,65,490,1
0,11,641349,35.1506,-106.569,1016.88,43,65,347,1
1,0,641349,35.1506,-106.569,494.73,43,65,540,1
1,11,641349,35.1506,-106.569,1152.92,43,65,665,1
1,0,641349,35.1506,-106.569,580.32,43,65,325,1
17,5,641349,35.1506,-106.569,17.38,43,65,295,1
22,11,151815,38.2352,-104.66,993.66,31,89,295,1
22,6,641349,35.1506,-106.569,242.48,43,65,3,1
23,12,151815,38.2352,-104.66,740.25,31,89,34,1
23,13,641349,35.1506,-106.569,8.74,43,65,534,1
0,4,151815,38.2352,-104.66,276.33,31,89,549,1
1,4,151815,38.2352,-104.66,299.87,31,89,639,1
1,4,151815,38.2352,-104.66,289.58,31,89,503,1
3,4,151815,38.2352,-104.66,300.92,31,89,381,1
16,12,151815,38.2352,-104.66,701.48,31,89,554,1
22,11,151815,38.2352,-104.66,1059.44,31,89,143,1
23,11,151815,38.2352,-104.66,1123.17,31,89,665,1
23,11,151815,38.2352,-104.66,1079.81,31,89,44,1
1,4,493,40.2967,-98.737,350.88,79,37,595,1
1,2,493,40.2967,-98.737,22.57,79,37,395,1
22,8,493,40.2967,-98.737,874.45,79,37,134,1
22,8,493,40.2967,-98.737,784.69,79,37,525,1
23,8,493,40.2967,-98.737,803.64,79,37,673,1
0,2,9772,38.5677,-109.5271,8.27,30,111,566,1
1,2,493,40.2967,-98.737,21.11,79,37,73,1
2,4,9772,38.5677,-109.5271,288.62,30,111,483,1
2,2,9772,38.5677,-109.5271,7.81,30,111,165,1
3,4,337,38.2427,-122.9145,351.2,65,126,282,1
3,2,337,38.2427,-122.9145,23.84,65,126,395,1
6,4,9772,38.5677,-109.5271,304.52,30,111,460,1
13,11,493,40.2967,-98.737,1069.68,79,37,143,1
22,12,493,40.2967,-98.737,874.29,79,37,34,1
22,4,493,40.2967,-98.737,303.68,79,37,229,1
22,11,493,40.2967,-98.737,1175.88,79,37,347,1
22,4,493,40.2967,-98.737,343.27,79,37,445,1
22,11,337,38.2427,-122.9145,873.24,65,126,270,1
23,1,493,40.2967,-98.737,126.78,79,37,217,1
23,11,9772,38.5677,-109.5271,1006.34,30,111,361,1
23,12,493,40.2967,-98.737,1158.16,79,37,562,1
23,8,337,38.2427,-122.9145,635.33,65,126,322,1
23,11,337,38.2427,-122.9145,1026.88,65,126,472,1
1,2,9772,38.5677,-109.5271,9.63,30,111,296,1
2,4,9772,38.5677,-109.5271,283.21,30,111,412,1
15,12,337,38.2427,-122.9145,827.78,65,126,554,1
20,12,337,38.2427,-122.9145,826.2,65,126,200,1
22,11,337,38.2427,-122.9145,1018.08,65,126,177,1
22,4,337,38.2427,-122.9145,313.21,65,126,412,1
22,11,9772,38.5677,-109.5271,1040.49,30,111,631,1
22,11,9772,38.5677,-109.5271,881.95,30,111,123,1
23,8,337,38.2427,-122.9145,799.36,65,126,349,1
3,4,277,39.4584,-106.3851,307.58,34,97,122,1
13,11,277,39.4584,-106.3851,1007.47,34,97,177,1
22,11,277,39.4584,-106.3851,1019.96,34,97,44,1
23,11,277,39.4584,-106.3851,1206.13,34,97,498,1
1,3,277,39.4584,-106.3851,10.36,34,97,485,1
3,4,111772,33.9581,-118.1174,315.48,56,85,392,1
4,2,277,39.4584,-106.3851,11.15,34,97,48,1
22,9,277,39.4584,-106.3851,8.65,34,97,652,1
22,8,111772,33.9581,-118.1174,770.45,56,85,413,1
22,11,277,39.4584,-106.3851,924.0,34,97,105,1
22,8,111772,33.9581,-118.1174,761.93,56,85,190,1
23,9,111772,33.9581,-118.1174,7.72,56,85,581,1
23,8,111772,33.9581,-118.1174,888.97,56,85,474,1
23,11,111772,33.9581,-118.1174,988.92,56,85,44,1
23,9,111772,33.9581,-118.1174,10.1,56,85,188,1
23,12,111772,33.9581,-118.1174,1145.9,56,85,474,1
3,2,111772,33.9581,-118.1174,11.14,56,85,566,1
23,11,111772,33.9581,-118.1174,957.4,56,85,365,1
2,11,1930,41.9404,-124.1587,1048.41,36,161,604,1
2,8,1930,41.9404,-124.1587,828.47,36,161,673,1
2,4,1930,41.9404,-124.1587,397.97,36,161,661,1
22,0,1930,41.9404,-124.1587,544.63,36,161,215,1
23,1,1930,41.9404,-124.1587,124.71,36,161,240,1
2,4,1930,41.9404,-124.1587,350.77,36,161,234,1
22,0,1930,41.9404,-124.1587,485.64,36,161,125,1
15,11,19408,43.0351,-108.2024,1014.68,26,23,180,1
1,8,19408,43.0351,-108.2024,924.45,26,23,241,1
1,2,19408,43.0351,-108.2024,6.84,26,23,584,1
3,4,19408,43.0351,-108.2024,339.21,26,23,599,1
20,11,19408,43.0351,-108.2024,857.79,26,23,155,1
23,11,19408,43.0351,-108.2024,793.81,26,23,463,1
23,11,19408,43.0351,-108.2024,1020.23,26,23,89,1
1,2,85,48.34,-122.3456,9.81,35,29,606,1
2,11,85,48.34,-122.3456,1050.47,35,29,365,1
3,2,85,48.34,-122.3456,9.61,35,29,505,1
3,4,85,48.34,-122.3456,313.17,35,29,327,1
22,6,85,48.34,-122.3456,242.6,35,29,580,1
23,12,85,48.34,-122.3456,788.66,35,29,138,1
0,11,85,48.34,-122.3456,852.22,35,29,144,1
3,11,85,48.34,-122.3456,970.12,35,29,578,1
23,7,85,48.34,-122.3456,24.21,35,29,640,1
2,4,973849,37.3304,-121.7913,263.15,22,91,392,1
2,4,973849,37.3304,-121.7913,300.62,22,91,287,1
3,8,973849,37.3304,-121.7913,819.53,22,91,673,1
3,4,973849,37.3304,-121.7913,298.99,22,91,445,1
1,4,973849,37.3304,-121.7913,288.41,22,91,262,1
1,8,973849,37.3304,-121.7913,780.58,22,91,385,1
23,11,973849,37.3304,-121.7913,1082.07,22,91,463,1
